isqno,war,name,locn,campgn,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,is_hero,war2,war3,war4,war4_theater,dbpedia,cow_warno,cow_warname,war_initiator,parent
1,NETHERLAND'S WAR OF INDEPENDENCE,NIEUPORT,SPANISH FLANDERS,NIEUPORT 1600,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,clear cut,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,NETHERLAND'S WAR OF INDEPENDENCE,NETHERLAND'S WAR OF INDEPENDENCE,Eighty Years War of 1568-1648,,http://dbpedia.org/resource/Battle_of_Nieuwpoort,,,0,
2,THIRTY YEAR'S WAR,WHITE MOUNTAIN,BOHEMIA,BOHEMIA 1620,A combination posture involving two distinct/separate postures,HD,PD,1.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,attacker win,1.0,clear cut,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_White_Mountain,,,0,
3,THIRTY YEAR'S WAR,WIMPFEN,PALATINATE,PALATINATE 1622,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,attacker win,1.0,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Wimpfen,,,0,
4,THIRTY YEAR'S WAR,DESSAU BRIDGE,ANHALT,DANISH INVASION OF GERMANY 1625-26,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,,Favors neither side,,0.0,0.0,0.0,0.0,,0.0,,,,clear cut,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Dessau_Bridge,,,1,
5,THIRTY YEAR'S WAR,LUTTER,BRUNSWICK,DANISH INVASION OF GERMANY 1625-26,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,attacker win,3.0,clear cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Lutter,,,0,
6,THIRTY YEAR'S WAR,BREITENFELD I,SAXONY,LEIPZIG 1631,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Breitenfeld_(1631),,,0,
7,THIRTY YEAR'S WAR,THE LECH,BAVARIA,BAVARIA 1632,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,3.2,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Rain,,,1,
8,THIRTY YEAR'S WAR,ALTE VESTE,FRANCONIA,NUREMBERG 1632,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,clear cut,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_the_Alte_Veste,,,1,
9,THIRTY YEAR'S WAR,LUETZEN,SAXONY,SAXONY 1632,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",HD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,attacker win,1.5,clear cut,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Lützen_(1632),,,1,
10,THIRTY YEAR'S WAR,NORDLINGEN I,BAVARIA,BAVARIA 1634,"At most one defensive posture is given (so, e.g., POST2 : ""OO"")",PD,,0.0,0.0,0.0,Neither side had theater air superiority,"Neither side achieved surprise, or it did not affect the outcome",Favors neither side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,clear cut,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,1,THIRTY YEAR'S WAR,THIRTY YEAR'S WAR,Thirty Years' War of 1618-1648,,http://dbpedia.org/resource/Battle_of_Nördlingen_(1634),,,1,
