isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
40,Guerra del Rey Guillermo,KILLIECRANKIE,1689-07-27 19:45:00,1689-07-27 21:00:00,0 days 01:15:00,Jacobitas,Inglaterra,attacker,Escocia
43,Guerra del Rey Guillermo,THE BOYNE,1690-07-11 11:00:00,1690-07-11 14:00:00,0 days 03:00:00,Inglaterra,Jacobitas,attacker,Irlanda
44,Guerra del Rey Guillermo,AUGHRIM,1691-07-22 14:00:00,1691-07-22 20:00:00,0 days 06:00:00,Inglaterra,Jacobitas,attacker,Irlanda
45,Guerra del Rey Guillermo,STEENKERKE,1692-08-03 12:00:00,1692-08-03 19:00:00,0 days 07:00:00,Inglaterra,Francia,defender,Países Bajos Españoles
46,Guerra del Rey Guillermo,NEERWINDEN (LANDEN),1693-07-29 04:00:00,1693-07-29 15:00:00,0 days 11:00:00,Francia,Inglaterra,attacker,Países Bajos Españoles
50,Guerra de Sucesión Española,BLENHEIM,1704-08-13 12:30:00,1704-08-13 21:00:00,0 days 08:30:00,Inglaterra,Francia,attacker,Baviera
51,Guerra de Sucesión Española,RAMILLIES,1706-05-23 13:00:00,1706-05-23 19:00:00,0 days 06:00:00,Inglaterra,Francia,attacker,Países Bajos Españoles
52,Guerra de Sucesión Española,OUDENARDE,1708-07-11 15:00:00,1708-07-11 21:00:00,0 days 06:00:00,Inglaterra,Francia,attacker,Países Bajos Españoles
53,Guerra de Sucesión Española,MALPLAQUET,1709-09-11 08:00:00,1709-09-11 15:00:00,0 days 07:00:00,Inglaterra,Francia,attacker,Países Bajos Españoles
54,Guerra Austro-Turca,PETERWARDEIN,1716-08-05 07:00:00,1716-08-05 12:00:00,0 days 05:00:00,Imperio Habsburgo,Imperio Otomano,attacker,Reino de Hungría
55,Guerra de Sucesión Austríaca,MOLLWITZ,1741-04-10 12:00:00,1741-04-10 18:45:00,0 days 06:45:00,Imperio Habsburgo,Prusia,defender,Silesia
56,Guerra de Sucesión Austríaca,CHOTUSITZ,1742-05-17 08:00:00,1742-05-17 12:00:00,0 days 04:00:00,Imperio Habsburgo,Prusia,defender,Bohemia
57,Guerra de Sucesión Austríaca,DETTINGEN,1743-06-27 00:00:00,1743-06-28 00:00:00,1 days 00:00:00,Gran Bretaña,Francia,attacker,Baviera
58,Guerra de Sucesión Austríaca,FONTENOY,1745-05-11 05:00:00,1745-05-11 13:00:00,0 days 08:00:00,Gran Bretaña,Francia,defender,Países Bajos Austríacos
59,Guerra de Sucesión Austríaca,HOHENFRIEDBERG,1745-06-04 04:00:00,1745-06-04 11:00:00,0 days 07:00:00,Prusia,Imperio Habsburgo,attacker,Silesia
60,Guerra de Sucesión Austríaca,SOOR,1745-09-30 07:00:00,1745-09-30 11:00:00,0 days 04:00:00,Prusia,Imperio Habsburgo,attacker,Silesia
62,Rebelión Jacobita,PRESTONPANS,1745-09-21 04:30:00,1745-09-21 04:40:00,0 days 00:10:00,Jacobitas,Gran Bretaña,attacker,Escocia
63,Rebelión Jacobita,CULLODEN,1746-04-16 13:10:00,1746-04-16 13:50:00,0 days 00:40:00,Jacobitas,Gran Bretaña,defender,Escocia
64,La Guerra de los Siete Años,LOBOSITZ,1756-10-01 11:00:00,1756-10-01 15:00:00,0 days 04:00:00,Prusia,Austria,attacker,Bohemia
65,La Guerra de los Siete Años,PRAGUE,1757-05-06 11:00:00,1757-05-06 15:00:00,0 days 04:00:00,Prusia,Austria,attacker,Bohemia
67,La Guerra de los Siete Años,KOLIN,1757-06-18 14:00:00,1757-06-18 21:00:00,0 days 07:00:00,Prusia,Austria,defender,Bohemia
68,La Guerra de los Siete Años,HASTENBECK,1757-07-26 09:00:00,1757-07-26 16:00:00,0 days 07:00:00,Francia,Gran Bretaña,attacker,Hannover
69,La Guerra de los Siete Años,ROSSBACH,1757-11-05 15:30:00,1757-11-05 17:00:00,0 days 01:30:00,Francia,Prusia,defender,Sajonia
70,La Guerra de los Siete Años,LEUTHEN,1757-12-05 13:00:00,1757-12-05 16:00:00,0 days 03:00:00,Prusia,Austria,attacker,Silesia
71,La Guerra de los Siete Años,CREFELD,1758-06-23 13:00:00,1758-06-23 18:00:00,0 days 05:00:00,Hanóver,Francia,attacker,Westfalia
72,La Guerra de los Siete Años,ZORNDORF,1758-08-25 10:00:00,1758-08-25 19:30:00,0 days 09:30:00,Prusia,Rusia,attacker,Prusia
73,La Guerra de los Siete Años,HOCHKIRCH,1758-10-14 05:00:00,1758-10-14 08:00:00,0 days 03:00:00,Austria,Prusia,attacker,Sajonia
74,La Guerra de los Siete Años,BERGEN,1759-04-13 00:00:00,1759-04-14 00:00:00,1 days 00:00:00,Hanóver,Francia,defender,Renania
75,La Guerra de los Siete Años,MINDEN,1759-08-01 06:00:00,1759-08-01 11:00:00,0 days 05:00:00,Hanóver,Francia,attacker,Renania
76,La Guerra de los Siete Años,KUNERSDORF,1759-08-12 11:30:00,1759-08-12 17:30:00,0 days 06:00:00,Prusia,Rusia,defender,Prusia
77,La Guerra de los Siete Años,PLAINS OF ABRAHAM (QUEBEC),1759-09-13 10:00:00,1759-09-13 10:15:00,0 days 00:15:00,Francia,Gran Bretaña,defender,Canadá
78,La Guerra de los Siete Años,MAXEN,1759-11-20 11:00:00,1759-11-20 17:30:00,0 days 06:30:00,Austria,Prusia,attacker,Sajonia
79,La Guerra de los Siete Años,WARBURG,1760-07-31 00:00:00,1760-08-01 00:00:00,1 days 00:00:00,Hanóver,Francia,attacker,Westfalia
80,La Guerra de los Siete Años,LIEGNITZ,1760-08-15 05:00:00,1760-08-15 07:00:00,0 days 02:00:00,Austria,Prusia,defender,Silesia
81,La Guerra de los Siete Años,TORGAU,1760-11-03 14:00:00,1760-11-03 22:00:00,0 days 08:00:00,Prusia,Austria,attacker,Silesia
82,Revolución Americana,BUNKER HILL,1775-06-17 15:00:00,1775-06-17 19:00:00,0 days 04:00:00,Gran Bretaña,EE. UU.,attacker,Massachusetts
83,Revolución Americana,QUEBEC,1776-01-01 04:00:00,1776-01-01 09:00:00,0 days 05:00:00,EE. UU.,Gran Bretaña,defender,Canadá
84,Revolución Americana,WHITE PLAINS,1776-10-28 08:00:00,1776-10-28 17:00:00,0 days 09:00:00,Gran Bretaña,EE. UU.,attacker,Nueva York
85,Revolución Americana,TRENTON,1776-12-26 08:00:00,1776-12-26 09:30:00,0 days 01:30:00,EE. UU.,Gran Bretaña,attacker,Nueva Jersey
86,Revolución Americana,PRINCETON,1777-01-03 08:00:00,1777-01-03 08:15:00,0 days 00:15:00,EE. UU.,Gran Bretaña,attacker,Nueva Jersey
87,Revolución Americana,FREEMAN'S FARM,1777-09-19 12:45:00,1777-09-19 19:15:00,0 days 06:30:00,Gran Bretaña,EE. UU.,draw,Nueva York
88,Revolución Americana,GERMANTOWN,1777-10-04 06:00:00,1777-10-04 10:00:00,0 days 04:00:00,EE. UU.,Gran Bretaña,defender,Pensilvania
89,Revolución Americana,BEMIS HEIGHTS,1777-10-07 14:30:00,1777-10-07 15:22:00,0 days 00:52:00,Gran Bretaña,EE. UU.,defender,Nueva York
90,Revolución Americana,MONMOUTH COURT HOUSE,1778-06-28 10:00:00,1778-06-28 17:00:00,0 days 07:00:00,Gran Bretaña,EE. UU.,draw,Nueva Jersey
91,Revolución Americana,CAMDEN,1780-08-16 02:00:00,1780-08-16 13:00:00,0 days 11:00:00,Gran Bretaña,EE. UU.,attacker,Carolina del Sur
92,Revolución Americana,COWPENS,1781-01-17 07:00:00,1781-01-17 08:00:00,0 days 01:00:00,Gran Bretaña,EE. UU.,defender,Carolina del Sur
93,Revolución Americana,GUILFORD COURT HOUSE,1781-03-15 13:30:00,1781-03-15 15:30:00,0 days 02:00:00,Gran Bretaña,EE. UU.,attacker,Carolina del Norte
94,Revolución Americana,HOBKIRK'S HILL,1781-04-25 10:00:00,1781-04-25 16:00:00,0 days 06:00:00,Gran Bretaña,EE. UU.,attacker,Carolina del Sur
95,Revolución Americana,EUTAW SPRINGS,1781-09-08 09:05:00,1781-09-08 13:00:00,0 days 03:55:00,EE. UU.,Gran Bretaña,defender,Carolina del Sur
96,Guerra de la Primera Coalición,VALMY,1792-09-20 12:10:00,1792-09-20 17:00:00,0 days 04:50:00,Prusia,Francia,defender,Francia
97,Guerra de la Primera Coalición,JEMAPPES,1792-11-06 00:00:00,1792-11-07 00:00:00,1 days 00:00:00,Francia,Austria,attacker,Países Bajos Austríacos
98,Guerra de la Primera Coalición,NEERWINDEN,1793-03-18 00:00:00,1793-03-19 00:00:00,1 days 00:00:00,Francia,Austria,defender,Países Bajos Austríacos
99,Guerra de la Primera Coalición,HONDSCHOOTE,1793-09-06 00:00:00,1793-09-07 00:00:00,1 days 00:00:00,Francia,Gran Bretaña,attacker,Francia
100,Guerra de la Primera Coalición,WATTIGNIES,1793-10-15 00:00:00,1793-10-17 00:00:00,2 days 00:00:00,Francia,Austria,attacker,Países Bajos Austríacos
101,Guerra de la Primera Coalición,FLEURUS,1794-06-26 04:00:00,1794-06-26 10:00:00,0 days 06:00:00,Austria,Francia,defender,Países Bajos Austríacos
102,Guerra de la Primera Coalición,LODI,1796-05-10 18:30:00,1796-05-10 20:00:00,0 days 01:30:00,Francia,Austria,attacker,Norte de Italia
103,Guerra de la Primera Coalición,CASTIGLIONE,1796-08-05 00:00:00,1796-08-06 00:00:00,1 days 00:00:00,Francia,Austria,attacker,Norte de Italia
104,Guerra de la Primera Coalición,NERESHEIM,1796-08-11 00:00:00,1796-08-12 00:00:00,1 days 00:00:00,Austria,Francia,attacker,Alemania
105,Guerra de la Primera Coalición,WUERZBURG,1796-09-03 09:00:00,1796-09-03 19:20:00,0 days 10:20:00,Austria,Francia,attacker,Alemania
106,Guerra de la Primera Coalición,ARCOLA,1796-11-15 00:00:00,1796-11-18 00:00:00,3 days 00:00:00,Francia,Austria,attacker,Norte de Italia
107,Guerra de la Primera Coalición,RIVOLI,1797-01-14 00:00:00,1797-01-16 00:00:00,2 days 00:00:00,Austria,Francia,defender,Norte de Italia
108,Guerra de la Primera Coalición,PYRAMIDS,1798-07-21 15:30:00,1798-07-21 16:30:00,0 days 01:00:00,Francia,Imperio Otomano,attacker,Egipto
109,Guerra de la Segunda Coalición,STOCKACH I,1799-03-25 05:00:00,1799-03-25 20:00:00,0 days 15:00:00,Francia,Austria,defender,Alemania
110,Guerra de la Primera Coalición,MOUNT TABOR,1799-04-16 06:30:00,1799-04-16 16:30:00,0 days 10:00:00,Imperio Otomano,Francia,defender,Palestina
111,Guerra de la Segunda Coalición,ZURICH I,1799-06-04 00:00:00,1799-06-05 00:00:00,1 days 00:00:00,Austria,Francia,defender,Suiza
112,Guerra de la Segunda Coalición,NOVI,1799-08-15 03:00:00,1799-08-15 20:00:00,0 days 17:00:00,Rusia,Francia,attacker,Norte de Italia
